path,emotion,dataset,original_split,split
Raw_Data/MELD/train/dia282_utt2.wav,happy,meld,train,train
Raw_Data/MELD/train/dia317_utt7.wav,happy,meld,train,train
Raw_Data/MELD/train/dia538_utt1.wav,sad,meld,train,train
Raw_Data/MELD/train/dia55_utt1.wav,happy,meld,train,train
Raw_Data/MELD/test/dia263_utt3.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia206_utt16.wav,angry,meld,train,train
Raw_Data/MELD/train/dia527_utt1.wav,happy,meld,train,train
Raw_Data/MELD/train/dia1024_utt12.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia84_utt0.wav,angry,meld,test,train
Raw_Data/MELD/train/dia501_utt11.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia86_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia164_utt4.wav,sad,meld,train,train
Raw_Data/MELD/train/dia775_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia96_utt12.wav,surprise,meld,test,train
Raw_Data/MELD/dev/dia6_utt7.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia124_utt13.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia874_utt6.wav,angry,meld,train,train
Raw_Data/MELD/train/dia703_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia136_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia940_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia92_utt11.wav,angry,meld,dev,train
Raw_Data/MELD/test/dia115_utt3.wav,disgust,meld,test,train
Raw_Data/MELD/dev/dia42_utt0.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia676_utt0.wav,sad,meld,train,train
Raw_Data/MELD/test/dia262_utt14.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia607_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia934_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia964_utt17.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia267_utt6.wav,neutral,meld,test,train
Raw_Data/MELD/dev/dia13_utt1.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia973_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia26_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia791_utt21.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia29_utt0.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia972_utt2.wav,happy,meld,train,train
Raw_Data/MELD/dev/dia81_utt2.wav,happy,meld,dev,train
Raw_Data/MELD/train/dia660_utt13.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia240_utt0.wav,angry,meld,test,train
Raw_Data/MELD/train/dia160_utt5.wav,sad,meld,train,train
Raw_Data/MELD/dev/dia32_utt9.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia507_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia281_utt10.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia850_utt0.wav,happy,meld,train,train
Raw_Data/MELD/train/dia584_utt6.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia70_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia622_utt14.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia160_utt12.wav,happy,meld,train,train
Raw_Data/MELD/train/dia861_utt5.wav,surprise,meld,train,train
Raw_Data/MELD/dev/dia31_utt11.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia317_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1017_utt8.wav,angry,meld,train,train
Raw_Data/MELD/train/dia906_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia41_utt1.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia268_utt4.wav,neutral,meld,test,train
Raw_Data/MELD/test/dia156_utt7.wav,happy,meld,test,train
Raw_Data/MELD/train/dia597_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia26_utt6.wav,happy,meld,train,train
Raw_Data/MELD/train/dia928_utt0.wav,disgust,meld,train,train
Raw_Data/MELD/train/dia1024_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia224_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia69_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia935_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia561_utt12.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia625_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia573_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia172_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia676_utt2.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia599_utt16.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia606_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia801_utt8.wav,angry,meld,train,train
Raw_Data/MELD/train/dia960_utt7.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia237_utt6.wav,surprise,meld,train,train
Raw_Data/MELD/test/dia112_utt6.wav,angry,meld,test,train
Raw_Data/MELD/train/dia844_utt9.wav,happy,meld,train,train
Raw_Data/MELD/train/dia828_utt8.wav,disgust,meld,train,train
Raw_Data/MELD/dev/dia67_utt8.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia204_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia727_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia548_utt3.wav,happy,meld,train,train
Raw_Data/MELD/train/dia808_utt0.wav,disgust,meld,train,train
Raw_Data/MELD/test/dia41_utt6.wav,disgust,meld,test,train
Raw_Data/MELD/test/dia161_utt11.wav,surprise,meld,test,train
Raw_Data/MELD/test/dia251_utt4.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia778_utt10.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia537_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia24_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia0_utt0.wav,surprise,meld,test,train
Raw_Data/MELD/train/dia123_utt1.wav,angry,meld,train,train
Raw_Data/MELD/test/dia169_utt10.wav,angry,meld,test,train
Raw_Data/MELD/train/dia148_utt11.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia181_utt0.wav,angry,meld,train,train
Raw_Data/MELD/train/dia212_utt9.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia778_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia305_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia82_utt8.wav,angry,meld,dev,train
Raw_Data/MELD/dev/dia8_utt6.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia154_utt5.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia874_utt14.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia18_utt5.wav,happy,meld,train,train
Raw_Data/MELD/test/dia203_utt4.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia449_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia167_utt13.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia187_utt3.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia207_utt15.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia176_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1026_utt10.wav,happy,meld,train,train
Raw_Data/MELD/test/dia160_utt2.wav,angry,meld,test,train
Raw_Data/MELD/train/dia771_utt15.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia615_utt18.wav,angry,meld,train,train
Raw_Data/MELD/train/dia770_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia871_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia11_utt9.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia678_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia200_utt2.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia719_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia154_utt4.wav,angry,meld,train,train
Raw_Data/MELD/train/dia371_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia611_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia814_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia314_utt2.wav,happy,meld,train,train
Raw_Data/MELD/train/dia533_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia770_utt12.wav,angry,meld,train,train
Raw_Data/MELD/test/dia262_utt0.wav,neutral,meld,test,train
Raw_Data/MELD/dev/dia7_utt2.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia940_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia679_utt15.wav,angry,meld,train,train
Raw_Data/MELD/train/dia72_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia831_utt1.wav,angry,meld,train,train
Raw_Data/MELD/train/dia317_utt1.wav,happy,meld,train,train
Raw_Data/MELD/test/dia18_utt1.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia121_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia933_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia68_utt5.wav,angry,meld,test,train
Raw_Data/MELD/train/dia383_utt11.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia232_utt16.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia576_utt2.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia197_utt0.wav,happy,meld,train,train
Raw_Data/MELD/test/dia242_utt5.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia906_utt5.wav,surprise,meld,train,train
Raw_Data/MELD/dev/dia16_utt17.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia775_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia443_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia315_utt4.wav,angry,meld,train,train
Raw_Data/MELD/train/dia338_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia849_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia249_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia187_utt2.wav,neutral,meld,test,train
Raw_Data/MELD/test/dia97_utt7.wav,neutral,meld,test,train
Raw_Data/MELD/dev/dia9_utt1.wav,sad,meld,dev,train
Raw_Data/MELD/train/dia464_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia11_utt0.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia157_utt4.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia590_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1032_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia137_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia6_utt15.wav,sad,meld,train,train
Raw_Data/MELD/train/dia342_utt7.wav,happy,meld,train,train
Raw_Data/MELD/dev/dia104_utt5.wav,angry,meld,dev,train
Raw_Data/MELD/test/dia222_utt4.wav,happy,meld,test,train
Raw_Data/MELD/train/dia346_utt2.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia945_utt8.wav,angry,meld,train,train
Raw_Data/MELD/test/dia192_utt2.wav,angry,meld,test,train
Raw_Data/MELD/train/dia49_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia620_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia776_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia626_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia8_utt13.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia242_utt7.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia562_utt10.wav,happy,meld,train,train
Raw_Data/MELD/train/dia646_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia247_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1025_utt5.wav,angry,meld,train,train
Raw_Data/MELD/test/dia232_utt4.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia326_utt5.wav,fear,meld,train,train
Raw_Data/MELD/train/dia1012_utt1.wav,surprise,meld,train,train
Raw_Data/MELD/test/dia71_utt0.wav,happy,meld,test,train
Raw_Data/MELD/train/dia1007_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia522_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia93_utt6.wav,sad,meld,dev,train
Raw_Data/MELD/train/dia242_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia755_utt3.wav,angry,meld,train,train
Raw_Data/MELD/train/dia544_utt5.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia678_utt16.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia315_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1037_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia140_utt16.wav,neutral,meld,test,train
Raw_Data/MELD/dev/dia85_utt9.wav,happy,meld,dev,train
Raw_Data/MELD/test/dia155_utt6.wav,neutral,meld,test,train
Raw_Data/MELD/test/dia250_utt1.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia887_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia421_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia68_utt4.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia169_utt17.wav,surprise,meld,test,train
Raw_Data/MELD/test/dia38_utt0.wav,happy,meld,test,train
Raw_Data/MELD/train/dia1025_utt14.wav,angry,meld,train,train
Raw_Data/MELD/train/dia735_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia524_utt14.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia747_utt12.wav,angry,meld,train,train
Raw_Data/MELD/train/dia513_utt4.wav,angry,meld,train,train
Raw_Data/MELD/test/dia229_utt4.wav,surprise,meld,test,train
Raw_Data/MELD/train/dia124_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia797_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia675_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia127_utt3.wav,disgust,meld,train,train
Raw_Data/MELD/train/dia892_utt10.wav,angry,meld,train,train
Raw_Data/MELD/test/dia244_utt1.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia63_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia18_utt12.wav,surprise,meld,dev,train
Raw_Data/MELD/train/dia148_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia716_utt2.wav,angry,meld,train,train
Raw_Data/MELD/train/dia1018_utt6.wav,angry,meld,train,train
Raw_Data/MELD/dev/dia59_utt2.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia791_utt15.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia219_utt12.wav,angry,meld,train,train
Raw_Data/MELD/train/dia440_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia135_utt2.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia327_utt2.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia735_utt18.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia538_utt5.wav,happy,meld,train,train
Raw_Data/MELD/train/dia435_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia111_utt14.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia213_utt11.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia347_utt10.wav,sad,meld,train,train
Raw_Data/MELD/dev/dia113_utt5.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia295_utt10.wav,angry,meld,train,train
Raw_Data/MELD/train/dia235_utt0.wav,angry,meld,train,train
Raw_Data/MELD/train/dia468_utt4.wav,happy,meld,train,train
Raw_Data/MELD/test/dia12_utt15.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia684_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia301_utt2.wav,fear,meld,train,train
Raw_Data/MELD/train/dia416_utt4.wav,disgust,meld,train,train
Raw_Data/MELD/train/dia165_utt5.wav,happy,meld,train,train
Raw_Data/MELD/train/dia637_utt11.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia109_utt5.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia599_utt9.wav,happy,meld,train,train
Raw_Data/MELD/dev/dia4_utt4.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia47_utt1.wav,sad,meld,test,train
Raw_Data/MELD/train/dia625_utt19.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia986_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia804_utt0.wav,fear,meld,train,train
Raw_Data/MELD/train/dia198_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia67_utt2.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia72_utt3.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia308_utt1.wav,happy,meld,train,train
Raw_Data/MELD/train/dia319_utt1.wav,happy,meld,train,train
Raw_Data/MELD/train/dia151_utt12.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia950_utt7.wav,sad,meld,train,train
Raw_Data/MELD/train/dia371_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia182_utt9.wav,surprise,meld,test,train
Raw_Data/MELD/dev/dia93_utt0.wav,sad,meld,dev,train
Raw_Data/MELD/train/dia372_utt10.wav,happy,meld,train,train
Raw_Data/MELD/train/dia630_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia448_utt9.wav,angry,meld,train,train
Raw_Data/MELD/test/dia211_utt6.wav,neutral,meld,test,train
Raw_Data/MELD/test/dia253_utt6.wav,happy,meld,test,train
Raw_Data/MELD/test/dia278_utt7.wav,surprise,meld,test,train
Raw_Data/MELD/train/dia13_utt0.wav,happy,meld,train,train
Raw_Data/MELD/train/dia793_utt6.wav,happy,meld,train,train
Raw_Data/MELD/train/dia611_utt11.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia39_utt11.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia774_utt0.wav,sad,meld,train,train
Raw_Data/MELD/train/dia148_utt0.wav,angry,meld,train,train
Raw_Data/MELD/test/dia194_utt4.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia344_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1015_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia505_utt6.wav,fear,meld,train,train
Raw_Data/MELD/train/dia321_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia321_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia226_utt19.wav,happy,meld,train,train
Raw_Data/MELD/train/dia55_utt11.wav,happy,meld,train,train
Raw_Data/MELD/train/dia476_utt7.wav,fear,meld,train,train
Raw_Data/MELD/train/dia254_utt0.wav,fear,meld,train,train
Raw_Data/MELD/train/dia947_utt15.wav,happy,meld,train,train
Raw_Data/MELD/train/dia775_utt12.wav,happy,meld,train,train
Raw_Data/MELD/train/dia94_utt7.wav,sad,meld,train,train
Raw_Data/MELD/dev/dia26_utt12.wav,angry,meld,dev,train
Raw_Data/MELD/train/dia879_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia260_utt9.wav,happy,meld,test,train
Raw_Data/MELD/test/dia253_utt0.wav,happy,meld,test,train
Raw_Data/MELD/train/dia571_utt14.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia770_utt9.wav,angry,meld,train,train
Raw_Data/MELD/test/dia83_utt8.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia949_utt3.wav,happy,meld,train,train
Raw_Data/MELD/train/dia670_utt10.wav,happy,meld,train,train
Raw_Data/MELD/test/dia70_utt3.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia221_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia224_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia990_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia288_utt0.wav,happy,meld,train,train
Raw_Data/MELD/train/dia558_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia342_utt10.wav,angry,meld,train,train
Raw_Data/MELD/test/dia77_utt3.wav,angry,meld,test,train
Raw_Data/MELD/train/dia529_utt6.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia870_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia923_utt9.wav,angry,meld,train,train
Raw_Data/MELD/train/dia376_utt2.wav,happy,meld,train,train
Raw_Data/MELD/train/dia741_utt4.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia264_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia938_utt1.wav,sad,meld,train,train
Raw_Data/MELD/test/dia210_utt5.wav,happy,meld,test,train
Raw_Data/MELD/test/dia199_utt12.wav,sad,meld,test,train
Raw_Data/MELD/dev/dia99_utt0.wav,happy,meld,dev,train
Raw_Data/MELD/dev/dia110_utt4.wav,neutral,meld,dev,train
Raw_Data/MELD/test/dia2_utt4.wav,angry,meld,test,train
Raw_Data/MELD/train/dia857_utt1.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia116_utt5.wav,sad,meld,test,train
Raw_Data/MELD/train/dia665_utt1.wav,happy,meld,train,train
Raw_Data/MELD/train/dia806_utt15.wav,fear,meld,train,train
Raw_Data/MELD/train/dia823_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia161_utt5.wav,surprise,meld,train,train
Raw_Data/MELD/test/dia12_utt4.wav,angry,meld,test,train
Raw_Data/MELD/train/dia682_utt14.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia455_utt13.wav,happy,meld,train,train
Raw_Data/MELD/test/dia190_utt2.wav,surprise,meld,test,train
Raw_Data/MELD/train/dia795_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia47_utt3.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia446_utt10.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia949_utt12.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia464_utt5.wav,happy,meld,train,train
Raw_Data/MELD/train/dia760_utt0.wav,happy,meld,train,train
Raw_Data/MELD/train/dia626_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia144_utt0.wav,angry,meld,test,train
Raw_Data/MELD/train/dia337_utt7.wav,surprise,meld,train,train
Raw_Data/MELD/train/dia602_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia1017_utt6.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia960_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia291_utt1.wav,sad,meld,train,train
Raw_Data/MELD/train/dia886_utt12.wav,disgust,meld,train,train
Raw_Data/MELD/train/dia386_utt0.wav,happy,meld,train,train
Raw_Data/MELD/test/dia225_utt3.wav,sad,meld,test,train
Raw_Data/MELD/train/dia211_utt12.wav,fear,meld,train,train
Raw_Data/MELD/train/dia961_utt8.wav,sad,meld,train,train
Raw_Data/MELD/train/dia367_utt9.wav,surprise,meld,train,train
Raw_Data/MELD/test/dia156_utt14.wav,happy,meld,test,train
Raw_Data/MELD/dev/dia88_utt0.wav,surprise,meld,dev,train
Raw_Data/MELD/train/dia207_utt14.wav,surprise,meld,train,train
Raw_Data/MELD/test/dia167_utt10.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia329_utt8.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia285_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia137_utt8.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia435_utt7.wav,happy,meld,train,train
Raw_Data/MELD/train/dia131_utt1.wav,sad,meld,train,train
Raw_Data/MELD/train/dia15_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia789_utt7.wav,angry,meld,train,train
Raw_Data/MELD/dev/dia27_utt7.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia207_utt18.wav,angry,meld,train,train
Raw_Data/MELD/train/dia249_utt11.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia211_utt2.wav,happy,meld,train,train
Raw_Data/MELD/dev/dia34_utt5.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia673_utt4.wav,neutral,meld,train,train
Raw_Data/MELD/dev/dia74_utt6.wav,neutral,meld,dev,train
Raw_Data/MELD/train/dia845_utt7.wav,fear,meld,train,train
Raw_Data/MELD/train/dia256_utt12.wav,angry,meld,train,train
Raw_Data/MELD/train/dia28_utt5.wav,happy,meld,train,train
Raw_Data/MELD/train/dia735_utt9.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia509_utt15.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia913_utt10.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia254_utt1.wav,angry,meld,train,train
Raw_Data/MELD/train/dia986_utt7.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia892_utt5.wav,neutral,meld,train,train
Raw_Data/MELD/train/dia662_utt0.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia262_utt1.wav,happy,meld,test,train
Raw_Data/MELD/test/dia130_utt9.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia707_utt3.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia124_utt6.wav,neutral,meld,test,train
Raw_Data/MELD/train/dia317_utt12.wav,angry,meld,train,train
Raw_Data/MELD/train/dia377_utt2.wav,neutral,meld,train,train
Raw_Data/MELD/test/dia33_utt8.wav,neutral,meld,test,train
Raw_Data/MELD/dev/dia77_utt6.wav,neutral,meld,dev,train
